trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
389,1385147786,14.0599,2.2247,14.2348,8.99
390,895027642,4.2300,-11.4461,12.2027,290.28
391,571669982,-7.6348,-17.8901,19.4511,246.89
392,610217714,-9.0663,-21.7167,23.5332,247.34
393,1326697837,9.4559,4.0267,10.2776,23.07
394,2085786086,20.7409,4.7909,21.2870,13.01
395,715141929,-3.8867,-7.1010,8.0951,241.31
396,1368605944,23.7954,2.7963,23.9592,6.70
397,1401473642,-15.7263,2.6383,15.9461,170.48
398,521114371,-1.8267,-10.7190,10.8736,260.33
399,378638225,-10.9070,9.5952,14.5269,138.66
400,2049115322,-15.7610,-17.0816,23.2420,227.30
401,434507814,24.0441,-4.4245,24.4478,349.57
402,192157015,-9.1748,-14.5899,17.2349,237.84
403,1734455029,6.4243,19.2192,20.2645,71.52
